epoch,train_loss,train_acc,val_loss,val_acc
1,0.014682773110497252,99.43117931080099,3.071668504517997e-07,100.0
2,1.6093552189748794e-06,100.0,4.083154285489654e-08,100.0
3,2.2264409024805386e-07,100.0,1.8516788207320775e-08,100.0
4,1.7869241593533223e-07,100.0,1.815162127794632e-08,100.0
5,9.030103301239496e-08,100.0,2.9583171250370876e-09,100.0
6,4.9756770866519244e-08,100.0,4.747918115311381e-10,100.0
7,1.975974856700493e-08,100.0,2.191347016698572e-10,100.0
8,9.230462972776001e-09,100.0,1.8261225647099942e-10,100.0
9,7.316664515974534e-09,100.0,3.652245172958146e-11,100.0
10,3.9394078581933273e-07,100.0,3.652245172958146e-10,100.0
