Timestamp,Ora_Selectata,Zona,Locuri_Libere,Grad_Ocupare
2026-01-13 17:11:20,9,Robotica,37,53.16
2026-01-13 17:11:20,9,Automatica,76,20.83
2026-01-13 17:11:20,9,Rectorat,37,17.78
2026-01-13 17:11:20,9,Transporturi,7,65.0
2026-01-13 17:11:25,20,Robotica,37,53.16
2026-01-13 17:11:25,20,Automatica,76,20.83
2026-01-13 17:11:25,20,Rectorat,20,55.56
2026-01-13 17:11:25,20,Transporturi,12,40.0
2026-01-13 17:11:26,14,Robotica,22,72.15
2026-01-13 17:11:26,14,Automatica,12,87.5
2026-01-13 17:11:26,14,Rectorat,5,88.89
2026-01-13 17:11:26,14,Transporturi,9,55.0
2026-01-13 17:11:32,19,Robotica,69,12.66
2026-01-13 17:11:32,19,Automatica,84,12.5
2026-01-13 17:11:32,19,Rectorat,31,31.11
2026-01-13 17:11:32,19,Transporturi,12,40.0
2026-01-13 17:11:35,8,Robotica,55,30.38
2026-01-13 17:11:35,8,Automatica,50,47.92
2026-01-13 17:11:35,8,Rectorat,22,51.11
2026-01-13 17:11:35,8,Transporturi,7,65.0
2026-01-13 17:11:43,11,Robotica,36,54.43
2026-01-13 17:11:43,11,Automatica,46,52.08
2026-01-13 17:11:43,11,Rectorat,30,33.33
2026-01-13 17:11:43,11,Transporturi,10,50.0
2026-01-13 17:11:53,11,Robotica,68,13.92
2026-01-13 17:11:53,11,Automatica,68,29.17
2026-01-13 17:11:53,11,Rectorat,22,51.11
2026-01-13 17:11:53,11,Transporturi,17,15.0
2026-01-13 17:11:57,11,Robotica,36,54.43
2026-01-13 17:11:57,11,Automatica,76,20.83
2026-01-13 17:11:57,11,Rectorat,29,35.56
2026-01-13 17:11:57,11,Transporturi,15,25.0
2026-01-13 17:11:57,11,Robotica,40,49.37
2026-01-13 17:11:57,11,Automatica,88,8.33
2026-01-13 17:11:57,11,Rectorat,40,11.11
2026-01-13 17:11:57,11,Transporturi,13,35.0
2026-01-13 17:11:58,11,Robotica,72,8.86
2026-01-13 17:11:58,11,Automatica,76,20.83
2026-01-13 17:11:58,11,Rectorat,20,55.56
2026-01-13 17:11:58,11,Transporturi,19,5.0
2026-01-13 17:11:59,11,Robotica,60,24.05
2026-01-13 17:11:59,11,Automatica,43,55.21
2026-01-13 17:11:59,11,Rectorat,35,22.22
2026-01-13 17:11:59,11,Transporturi,13,35.0
2026-01-13 17:11:59,11,Robotica,50,36.71
2026-01-13 17:11:59,11,Automatica,63,34.38
2026-01-13 17:11:59,11,Rectorat,28,37.78
2026-01-13 17:11:59,11,Transporturi,17,15.0
2026-01-13 17:12:00,11,Robotica,67,15.19
2026-01-13 17:12:00,11,Automatica,78,18.75
2026-01-13 17:12:00,11,Rectorat,24,46.67
2026-01-13 17:12:00,11,Transporturi,16,20.0
2026-01-13 17:12:00,11,Robotica,37,53.16
2026-01-13 17:12:00,11,Automatica,78,18.75
2026-01-13 17:12:00,11,Rectorat,22,51.11
2026-01-13 17:12:00,11,Transporturi,16,20.0
2026-01-13 17:12:01,11,Robotica,42,46.84
2026-01-13 17:12:01,11,Automatica,78,18.75
2026-01-13 17:12:01,11,Rectorat,27,40.0
2026-01-13 17:12:01,11,Transporturi,10,50.0
2026-01-13 17:12:01,11,Robotica,23,70.89
2026-01-13 17:12:01,11,Automatica,63,34.38
2026-01-13 17:12:01,11,Rectorat,29,35.56
2026-01-13 17:12:01,11,Transporturi,6,70.0
2026-01-13 17:12:02,11,Robotica,48,39.24
2026-01-13 17:12:02,11,Automatica,52,45.83
2026-01-13 17:12:02,11,Rectorat,35,22.22
2026-01-13 17:12:02,11,Transporturi,16,20.0
2026-01-13 17:12:02,11,Robotica,71,10.13
2026-01-13 17:12:02,11,Automatica,51,46.88
2026-01-13 17:12:02,11,Rectorat,22,51.11
2026-01-13 17:12:02,11,Transporturi,17,15.0
2026-01-13 17:12:02,11,Robotica,46,41.77
2026-01-13 17:12:02,11,Automatica,51,46.88
2026-01-13 17:12:02,11,Rectorat,38,15.56
2026-01-13 17:12:02,11,Transporturi,19,5.0
2026-01-13 17:12:03,11,Robotica,65,17.72
2026-01-13 17:12:03,11,Automatica,53,44.79
2026-01-13 17:12:03,11,Rectorat,31,31.11
2026-01-13 17:12:03,11,Transporturi,15,25.0
2026-01-13 17:12:04,11,Robotica,54,31.65
2026-01-13 17:12:04,11,Automatica,84,12.5
2026-01-13 17:12:04,11,Rectorat,38,15.56
2026-01-13 17:12:04,11,Transporturi,9,55.0
2026-01-13 17:12:50,7,Robotica,63,20.25
2026-01-13 17:12:50,7,Automatica,44,54.17
2026-01-13 17:12:50,7,Rectorat,30,33.33
2026-01-13 17:12:50,7,Transporturi,10,50.0
2026-01-13 17:12:52,8,Robotica,44,44.3
2026-01-13 17:12:52,8,Automatica,43,55.21
2026-01-13 17:12:52,8,Rectorat,16,64.44
2026-01-13 17:12:52,8,Transporturi,15,25.0
2026-01-13 17:12:53,9,Robotica,42,46.84
2026-01-13 17:12:53,9,Automatica,48,50.0
2026-01-13 17:12:53,9,Rectorat,36,20.0
2026-01-13 17:12:53,9,Transporturi,18,10.0
2026-01-13 17:12:54,10,Robotica,67,15.19
2026-01-13 17:12:54,10,Automatica,61,36.46
2026-01-13 17:12:54,10,Rectorat,20,55.56
2026-01-13 17:12:54,10,Transporturi,17,15.0
2026-01-13 17:12:55,11,Robotica,36,54.43
2026-01-13 17:12:55,11,Automatica,80,16.67
2026-01-13 17:12:55,11,Rectorat,11,75.56
2026-01-13 17:12:55,11,Transporturi,8,60.0
2026-01-13 17:12:56,12,Robotica,35,55.7
2026-01-13 17:12:56,12,Automatica,17,82.29
2026-01-13 17:12:56,12,Rectorat,13,71.11
2026-01-13 17:12:56,12,Transporturi,2,90.0
2026-01-13 17:12:58,13,Robotica,38,51.9
2026-01-13 17:12:58,13,Automatica,8,91.67
2026-01-13 17:12:58,13,Rectorat,7,84.44
2026-01-13 17:12:58,13,Transporturi,5,75.0
2026-01-13 17:12:59,13,Robotica,24,69.62
2026-01-13 17:12:59,13,Automatica,23,76.04
2026-01-13 17:12:59,13,Rectorat,21,53.33
2026-01-13 17:12:59,13,Transporturi,4,80.0
2026-01-13 17:13:00,14,Robotica,11,86.08
2026-01-13 17:13:00,14,Automatica,37,61.46
2026-01-13 17:13:00,14,Rectorat,14,68.89
2026-01-13 17:13:00,14,Transporturi,7,65.0
2026-01-13 17:13:01,15,Robotica,25,68.35
2026-01-13 17:13:01,15,Automatica,38,60.42
2026-01-13 17:13:01,15,Rectorat,12,73.33
2026-01-13 17:13:01,15,Transporturi,0,100.0
2026-01-13 17:13:03,16,Robotica,36,54.43
2026-01-13 17:13:03,16,Automatica,25,73.96
2026-01-13 17:13:03,16,Rectorat,21,53.33
2026-01-13 17:13:03,16,Transporturi,6,70.0
2026-01-13 17:13:04,17,Robotica,69,12.66
2026-01-13 17:13:04,17,Automatica,57,40.62
2026-01-13 17:13:04,17,Rectorat,21,53.33
2026-01-13 17:13:04,17,Transporturi,17,15.0
2026-01-13 17:13:05,18,Robotica,56,29.11
2026-01-13 17:13:05,18,Automatica,79,17.71
2026-01-13 17:13:05,18,Rectorat,15,66.67
2026-01-13 17:13:05,18,Transporturi,17,15.0
2026-01-13 17:13:06,19,Robotica,62,21.52
2026-01-13 17:13:06,19,Automatica,63,34.38
2026-01-13 17:13:06,19,Rectorat,30,33.33
2026-01-13 17:13:06,19,Transporturi,18,10.0
2026-01-13 17:13:07,20,Robotica,60,24.05
2026-01-13 17:13:07,20,Automatica,70,27.08
2026-01-13 17:13:07,20,Rectorat,27,40.0
2026-01-13 17:13:07,20,Transporturi,10,50.0
2026-01-13 17:13:09,21,Robotica,53,32.91
2026-01-13 17:13:09,21,Automatica,78,18.75
2026-01-13 17:13:09,21,Rectorat,27,40.0
2026-01-13 17:13:09,21,Transporturi,11,45.0
2026-01-13 17:17:31,14,Robotica,40,49.37
2026-01-13 17:17:31,14,Automatica,22,77.08
2026-01-13 17:17:31,14,Rectorat,7,84.44
2026-01-13 17:17:31,14,Transporturi,2,90.0
2026-01-13 17:18:05,14,Robotica,20,74.68
2026-01-13 17:18:05,14,Automatica,13,86.46
2026-01-13 17:18:05,14,Rectorat,20,55.56
2026-01-13 17:18:05,14,Transporturi,2,90.0
2026-01-13 17:18:12,14,Robotica,38,51.9
2026-01-13 17:18:12,14,Automatica,5,94.79
2026-01-13 17:18:12,14,Rectorat,19,57.78
2026-01-13 17:18:12,14,Transporturi,8,60.0
2026-01-13 17:19:37,18,Robotica,48,39.24
2026-01-13 17:19:37,18,Automatica,40,58.33
2026-01-13 17:19:37,18,Rectorat,16,64.44
2026-01-13 17:19:37,18,Transporturi,11,45.0
