epoch,train_loss,train_acc,val_loss,val_acc
1,0.008431014051325162,99.62299093855414,1.1650637779144616e-08,100.0
2,1.4403439246498154e-06,100.0,3.360063689157616e-09,100.0
3,7.976608028825762e-08,100.0,1.314807874775328e-09,100.0
4,4.146558926852684e-08,100.0,9.130612301092077e-10,100.0
5,3.771667226552567e-08,100.0,3.6522448681910415e-10,100.0
6,8.581212711705648e-08,100.0,1.3878527825883068e-09,100.0
7,8.314929601415212e-08,100.0,1.387852815241925e-09,100.0
8,8.973446735260927e-08,100.0,5.113142501992721e-10,100.0
9,2.0185486322601664e-08,100.0,1.4608980691832585e-10,100.0
10,1.3724923163686223e-08,100.0,1.0956735518874439e-10,100.0
